,daft_id,date_entered,views,type,rent,num_bedroom,num_bathroom,available_from,furnished,lease,ber_rating,address,distance_from_city_centre,latitude,longitude,region,url,input_date,property_id
788,216903616,2023-07-06,171,House,3800.0,3,3," Jul 10th, 2023", Optional, Minimum 1 Year,C1,"2 Dargle Drive, Marley Grange, Rathfarnham, Dublin 16",6.710400867421933,53.285181,-6.270951,Dublin 16,https://www.daft.ie/for-rent/house-2-dargle-drive-marley-grange-rathfarnham-dublin-16/5331657,2023-07-06,ea2d7802cf532fee22ec78c33f8ad8f87ddb6753cf77b55d4437072ae6b27aa3
789,216740924,2023-07-06,1733,Apartment,1535.0,1,1, Immediately, Yes, Minimum 1 Year,BER Exempt,"110 Seville Place, Dublin 1",1.7373467580257214,53.354471,-6.24598,Dublin 1,https://www.daft.ie/for-rent/apartment-110-seville-place-dublin-1/5314448,2023-07-06,9a85ad11fab9b42353d6da064158e723044d626082aef79e4a4edbc5222a6a87
790,216903680,2023-07-06,537,Studio,1300.0,0,0," Jul 10th, 2023", Yes, Minimum 1 Year,G,"1a Bettyglen, Watermill Road, Raheny, Dublin 5",7.5040949077402335,53.375794,-6.166612,Dublin 5,https://www.daft.ie/for-rent/studio-apartment-1a-bettyglen-watermill-road-raheny-dublin-5/5331667,2023-07-06,c3540f3f02bb51b6b6a3595180772cacadd6e93b7af33dd0188ba8b0e7429663
791,216892382,2023-07-06,1518,Apartment,1800.0,1,1, Immediately, No, Minimum 1 Year,C1,"Oliver Plunkett Road, Dun Laoghaire, Co. Dublin",10.363372446579437,53.2840495,-6.1503318,,https://www.daft.ie/for-rent/apartment-oliver-plunkett-road-dun-laoghaire-co-dublin/5330581,2023-07-06,67e7f489e5b57aef15e5994a8331c54a8935d4f9accbf861acb879e73b4a7c48
792,216848901,2023-07-06,1208,Apartment,2192.0,2,2, Immediately, No, No Minimum,C3,"Ivy Exchange, Parnell Street, Dublin 1",0.7121999933165106,53.351538,-6.2640345,Dublin 1,https://www.daft.ie/for-rent/apartment-ivy-exchange-parnell-street-dublin-1/5326706,2023-07-06,5733ecfd79c663b987ec4c92cfa76e430c77319ff0de699db5bda8f0b63721f9
793,216901364,2023-07-06,312,House,4000.0,4,2, Immediately, Yes, Minimum 1 Year,B3,"91 Ballyedmonduff Road, Sandyford",12.3599464943244,53.237761,-6.221847,,https://www.daft.ie/for-rent/house-91-ballyedmonduff-road-sandyford/5331315,2023-07-06,7d2e6f72a83b98d26ce3563700160c6469440b6f994544e919ab3acf1b0887e0
794,22045041,2023-07-06,4549,Apartment,2770.0,2,3, Immediately, Yes, Minimum 1 Year,B2,"Two Bedroom Duplex Apartment, Vantage Phase 2, Central Park, Leopardstown, Dublin 18",9.384786585181743,53.26987709938263,-6.204746579901325,Dublin 18,https://www.daft.ie/for-rent/apartment-two-bedroom-duplex-apartment-vantage-phase-2-central-park-leopardstown-dublin-18/2507179,2023-07-06,e762362f630cfddcb4a7fe22d746c873e0fdf6c03f3988c2bccb80d1561cffc1
795,25291362,2023-07-06,10737,Apartment,1250.0,1,1, Immediately, Yes, Minimum 3 Months,BER Exempt,"6 Waverley Terrace, Kenilworth Square North, Dubli, Dublin 6W",3.083945166521733,53.318548,-6.27845,Dublin 6,https://www.daft.ie/for-rent/flat-6-waverley-terrace-kenilworth-square-north-dubli-dublin-6w/5291362,2023-07-06,a8b7289e6b9f4c766506fd34f88b31dd706a2896617328d818b1d9b918e898e2
796,216903747,2023-07-06,0,House,2500.0,3,2, Immediately, Yes, Minimum 1 Year,C1,"9 Parkview, Brackenstown Road, Swords, Co. Dublin",12.707858757608824,53.459338,-6.253867,,https://www.daft.ie/for-rent/house-9-parkview-brackenstown-road-swords-co-dublin/5331727,2023-07-06,a782fe39e8e21e2e157f5e47808c7ac5ada821f20733e746ae274169035da50c
797,216903729,2023-07-06,0,House,2838.0,3,2," Aug 2nd, 2023", No, Minimum 1 Year,C1,"Cooleen, Mountain View Road, Killiney, Co. Dublin",14.056507225904229,53.253079,-6.123441,,https://www.daft.ie/for-rent/house-cooleen-mountain-view-road-killiney-co-dublin/5331690,2023-07-06,b5bb4539fa9dc5edb6fbc3c62ea44e8fe7a9444cc6f2ce43d25b2d9ef6f9d077
